subject_id,account_id,DATE_REPORTED,currency_code,REPAYMENT_FREQUENCY,NUMBER_OF_INSTALLMENTS,SANCTION_AMT,TOT_OUTSTD_BAL,OVER_DUE_AMT,AMOUNT_OF_INSTALLMENT,DATE_LATEST_PAY_RECEIVED,LAST_AMOUNT_PAID,DATE_ACC_OPEN,DATE_ACC_CLOSE,INSTALMENT_LOAN_TYPE,loan_status,ASSET_CLASSIFICATION,REASON_FOR_CLOSURE,NO_OF_DAYS_PAST_DUE,LOAN_TENURE,EXPECTED_END_DATE_OF_LOAN,CONDITION
1.10113E+17,2.20116E+15,2-Jan-18,TZS,MonthlyInstalments30Days,6,400000,0,205609,0,29-Nov-16,,29-Jun-16,29-Dec-16,OtherInstalmentOperation,Existing,,,399,,29-Dec-16,Yes
1.10115E+17,2.20117E+15,8-Jan-18,TZS,MonthlyInstalments30Days,61,3500000,3272849,0,100243,29-Dec-17,,29-Jun-17,5-Jul-22,ConsumerLoan,Existing,,,0,,5-Jul-22,No
1.10114E+17,2.20114E+15,2-Jan-18,TZS,MonthlyInstalments30Days,57,4200000,870463,0,106652,28-Dec-17,,27-Dec-13,,ConsumerLoan,Existing,,,0,,27-Sep-18,No
1.10114E+17,2.20116E+15,2-Jan-18,TZS,MonthlyInstalments30Days,24,60000000,15740677,0,2987343,18-Dec-17,,11-May-16,,BusinessLoan,Existing,,,18,,11-May-18,No
1.10114E+17,2.20114E+15,8-Jan-18,TZS,MonthlyInstalments30Days,69,3400000,828982,0,99164,29-Dec-17,,20-Feb-13,16-Nov-18,ConsumerLoan,Existing,,,0,,16-Nov-18,No
1.10113E+17,2.20113E+15,11-Jan-18,TZS,MonthlyInstalments30Days,36,4000000,0,0,152762,7-Nov-14,,24-Aug-12,24-Aug-15,OtherInstalmentOperation,TerminatedAccordingTheContract,,,0,,24-Aug-15,No
1.10113E+17,2.20117E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,10100000,14226502,0,278951,28-Dec-17,,30-Mar-17,,ConsumerLoan,Existing,,,0,,28-Apr-22,No
1.10118E+17,2.20118E+15,2-Jan-18,TZS,MonthlyInstalments30Days,6,700000,594852,0,109507,18-Dec-17,,16-Nov-17,,OtherInstalmentOperation,Existing,,,0,,16-May-18,No
1.10113E+17,2.20117E+15,31-Jan-18,TZS,MonthlyInstalments30Days,36,6000000,5446339,0,233425,5-Jan-18,,15-Jul-17,,ConsumerLoan,Existing,,,0,,5-Aug-20,No
1.10113E+17,2.20113E+15,11-Jan-18,TZS,MonthlyInstalments30Days,32,4551767,0,0,173305,27-Sep-15,,18-Dec-12,25-Aug-15,ConsumerLoan,TerminatedAccordingTheContract,,,0,,25-Aug-15,No
1.10114E+17,2.20113E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,12800000,9101004,0,325036,28-Dec-17,,19-May-15,,ConsumerLoan,Existing,,,0,,28-May-20,No
1.10115E+17,2.20115E+15,31-Jan-18,TZS,MonthlyInstalments30Days,60,5000000,2242394,0,132469,31-Jan-18,,26-Sep-14,,ConsumerLoan,Existing,,,0,,30-Sep-19,No
1.10114E+17,2.20118E+15,2-Jan-18,TZS,MonthlyInstalments30Days,24,7600000,8428321,0,383105,28-Dec-17,,18-Nov-17,,ConsumerLoan,Existing,,,0,,28-Nov-19,No
1.10115E+17,2.20116E+15,11-Jan-18,TZS,MonthlyInstalments30Days,36,1700000,0,0,67592,21-Jul-17,,15-Aug-16,25-Jul-19,OtherInstalmentOperation,TerminatedAccordingTheContract,,,0,,25-Jul-19,No
1.10117E+17,2.20117E+15,2-Jan-18,TZS,MonthlyInstalments30Days,12,2000000,1094223,406076,168316,21-Dec-17,,21-Jun-17,,BusinessLoan,Existing,,,12,,21-Jun-18,No
1.10114E+17,2.20117E+15,2-Jan-18,TZS,MonthlyInstalments30Days,12,1200000,772062,0,96903,11-Dec-17,,6-Jul-17,,OtherInstalmentOperation,Existing,,,5,,6-Jul-18,No
1.10115E+17,2.20116E+15,31-Jan-18,TZS,MonthlyInstalments30Days,60,23500000,22101447,2532732,633183,5-Jan-18,,11-Aug-16,,ConsumerLoan,Existing,,,118,,5-Sep-21,Yes
1.10116E+17,2.20116E+15,11-Jan-18,TZS,MonthlyInstalments30Days,4,800000,0,0,224000,5-Nov-16,,5-Jul-16,5-Nov-16,OtherInstalmentOperation,TerminatedAccordingTheContract,,,0,,5-Nov-16,No
1.10117E+17,2.20117E+15,2-Jan-18,TZS,MonthlyInstalments30Days,9,1000000,0,140809,0,13-Jun-17,,3-Aug-16,3-May-17,BusinessLoan,Existing,,,274,,3-May-17,Yes
1.10116E+17,2.20116E+15,11-Jan-18,TZS,MonthlyInstalments30Days,24,1100000,0,0,61417,6-Oct-16,,5-Dec-15,25-Dec-17,OtherInstalmentOperation,TerminatedAccordingTheContract,,,0,,25-Dec-17,No
1.10114E+17,2.20115E+15,2-Jan-18,TZS,MonthlyInstalments30Days,12,23000000,806083,806083,2174871,11-Nov-16,,4-Nov-15,,BusinessLoan,Existing,,,424,,4-Nov-16,Yes
1.10114E+17,2.20117E+15,2-Jan-18,TZS,MonthlyInstalments30Days,15,4500000,2950222,0,288011,11-Dec-17,,10-Jun-17,,BusinessLoan,Existing,,,0,,10-Sep-18,No
1.10113E+17,2.20113E+15,8-Jan-18,TZS,MonthlyInstalments30Days,35,4200000,2765356,2765356,118149,29-Dec-17,,30-Aug-12,22-Jul-15,ConsumerLoan,Existing,,,702,,22-Jul-15,Yes
1.10115E+17,2.20115E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,9500000,13381363,0,262380,28-Dec-17,,18-Apr-17,,ConsumerLoan,Existing,,,0,,28-Apr-22,No
